Call_ID,Date,Customer_Company,Contact_Person,Product,Transcript_Text,cleaned_df,sentiment,sentiment_score,feedback_type,feedback_reason,feedback_product,summary
SBD001,2025-06-27,"Rodriguez, Figueroa and Sanchez",Brian Yang,BLACK+DECKER Pressure Washer,The delivery of the BLACK+DECKER Pressure Washer was delayed by over a week.,w     w.,NEGATIVE,0.9993901252746582,Complaint,Delivery Delay,BLACK+DECKER Pressure Washer,The delivery of the BLACK+DECKER Pressure Washer has experienced a delay of more than a week.
SBD002,2025-07-10,"Miller, Henderson and Johnson",Jonathan Johnson,Craftsman Lawn Mower,The Craftsman Lawn Mower stopped working after just two weeks of use.,w w  w   w w  .,NEGATIVE,0.9996240139007568,Complaint,Stopped working,Craftsman Lawn Mower,The caller reported that their Craftsman Lawn Mower ceased functioning only two weeks after purchase.
SBD003,2025-06-26,Baldwin Ltd,Connie Lawrence,PROTO Torque Wrench,The performance of the PROTO Torque Wrench isn't up to the mark in our shop.,.,NEGATIVE,0.9985148310661316,Complaint,Poor performance,PROTO Torque Wrench,The caller expressed dissatisfaction with the performance of the PROTO Torque Wrench in their shop.
SBD004,2025-07-04,Blake and Sons,Gina Moore,DEWALT Cordless Drill,The DEWALT Cordless Drill stopped working after just two weeks of use.,w   w w  .,NEGATIVE,0.9996693134307861,Complaint,Stopped working,DEWALT Cordless Drill,The caller reported that their DEWALT Cordless Drill ceased functioning after only two weeks of use.
SBD005,2025-07-11,Garcia-James,Gregory Baker,Craftsman Lawn Mower,We suggest offering the Craftsman Lawn Mower in multiple sizes for flexibility.,w w     .,POSITIVE,0.5951741933822632,Suggestion,Size Flexibility,Craftsman Lawn Mower,The call suggested offering the Craftsman Lawn Mower in various sizes to provide more flexibility.
SBD006,2025-07-17,Blair PLC,Thomas Miller,PROTO Torque Wrench,The performance of the PROTO Torque Wrench isn't up to the mark in our shop.,.,NEGATIVE,0.9985148310661316,Complaint,Poor Performance,PROTO Torque Wrench,The caller expressed dissatisfaction with the performance of the PROTO Torque Wrench in their shop.
SBD007,2025-07-04,Calderon-Montgomery,Laura Bush,Craftsman Lawn Mower,Our team loves the ease-of-use of the Craftsman Lawn Mower. Kudos to your engineers!,w w.    !,POSITIVE,0.9996761083602905,Compliment,Ease-of-use,Craftsman Lawn Mower,The caller expressed their team's satisfaction with the ease-of-use of the Craftsman Lawn Mower and praised the engineers for their work.
SBD008,2025-07-09,Stanley LLC,Dr. Sharon James,DEWALT Cordless Drill,The DEWALT Cordless Drill came with missing parts. Please resolve this quickly.,w  .    .,NEGATIVE,0.9993637204170227,Complaint,Missing parts,DEWALT Cordless Drill,The caller reported that their DEWALT Cordless Drill arrived with missing parts and requested a swift resolution.
SBD009,2025-07-07,Reid-Diaz,Daniel Adams,Bostitch Nail Gun,We're experiencing issues with the battery life on the Bostitch Nail Gun.,w        .,NEGATIVE,0.9986171722412109,Complaint,Battery Life Issues,Bostitch Nail Gun,The caller reported experiencing problems with the battery life of their Bostitch Nail Gun.
SBD010,2025-06-17,"Wong, Lynch and Jackson",Carla Gray,Porter-Cable Air Compressor,The Porter-Cable Air Compressor stopped working after just two weeks of use.,w   w w  .,NEGATIVE,0.9996986389160156,Complaint,Stopped working,Porter-Cable Air Compressor,The customer reported that their Porter-Cable Air Compressor ceased functioning after only two weeks of usage.
